name,rating,reviews,details,highly_rated,critically_rated
Omega Healthcare,3.7,(5.1k),BPO | Bangalore / Bengaluru +57 other locations,None,"Salary & Benefits, Work Life Balance, Skill Development / Learning"
Bajaj Allianz Life Insurance,3.9,(5k),Insurance | Pune +547 other locations,"Work Life Balance, Salary & Benefits",None
JLL,4.1,(5k),Real Estate | Gurgaon / Gurugram +72 other locations,"Company Culture, Work Life Balance, Job Security",None
L&T Technology Services,3.3,(5k),IT Services & Consulting | Bangalore / Bengaluru +76 other locations,None,"Company Culture, Work Life Balance, Job Security"
Virtusa Consulting Services,3.8,(4.9k),IT Services & Consulting | Hyderabad / Secunderabad +47 other locations,None,"Company Culture, Work Life Balance, Job Security"
Indiamart Intermesh,3.6,(4.9k),Internet | Noida +152 other locations,None,"Company Culture, Work Life Balance, Job Security"
Coforge,3.3,(4.9k),IT Services & Consulting | Noida +94 other locations,None,"Company Culture, Work Life Balance, Job Security"
HSBC Group,3.9,(4.9k),Financial Services | Bangalore / Bengaluru +59 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
Siemens,4.1,(4.9k),Industrial Automation | Bangalore / Bengaluru +142 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
Aurobindo Pharma,4.0,(4.8k),Pharma | Hyderabad / Secunderabad +96 other locations,"Job Security, Work Life Balance, Salary & Benefits",None
Shapoorji Pallonji Group,4.1,(4.8k),Engineering & Construction | Mumbai +182 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
Standard Chartered,3.7,(4.8k),Banking | Chennai +65 other locations,None,"Job Security, Company Culture, Work Life Balance"
Firstsource Solutions,3.6,(4.7k),BPO | Bangalore / Bengaluru +62 other locations,None,"Job Security, Company Culture, Work Life Balance"
DMart,3.9,(4.7k),Retail | Mumbai +229 other locations,"Job Security, Company Culture","Job Security, Company Culture"
CGI Group,4.0,(4.7k),IT Services & Consulting | Bangalore / Bengaluru +38 other locations,"Work Life Balance, Job Security, Company Culture","Work Life Balance, Job Security, Company Culture"
Cholamandalam Investment & Finance,3.9,(4.7k),Financial Services | Chennai +735 other locations,Salary & Benefits,None
GlobalLogic,3.7,(4.6k),IT Services & Consulting | Hyderabad / Secunderabad +49 other locations,Work Life Balance,Work Life Balance
Apollo Hospitals,4.1,(4.6k),Healthcare | Chennai +201 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Ashok Leyland,4.1,(4.6k),Automobile | Chennai +223 other locations,"Skill Development / Learning, Company Culture, Work Life Balance","Skill Development / Learning, Company Culture, Work Life Balance"
ICICI Lombard General Insurance Company,3.7,(4.6k),Insurance | Mumbai +283 other locations,None,"Skill Development / Learning, Company Culture, Work Life Balance"
BigBasket,3.9,(4.6k),Internet | Bangalore / Bengaluru +122 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
Cyient,3.7,(4.6k),IT Services & Consulting | Hyderabad / Secunderabad +41 other locations,None,"Job Security, Skill Development / Learning"
Bosch Global Software Technologies,3.9,(4.5k),IT Services & Consulting | Bangalore / Bengaluru +36 other locations,"Work Life Balance, Job Security, Company Culture","Work Life Balance, Job Security, Company Culture"
UST,3.8,(4.5k),IT Services & Consulting | Bangalore / Bengaluru +43 other locations,Work Life Balance,Work Life Balance
Citicorp,3.7,(4.5k),Financial Services | Pune +62 other locations,Salary & Benefits,Salary & Benefits
Hero MotoCorp,4.1,(4.5k),Automobile | Gurgaon / Gurugram +332 other locations,"Work Life Balance, Company Culture, Job Security",None
Mahindra Finance,4.1,(4.5k),NBFC | Mumbai +673 other locations,"Company Culture, Work Life Balance, Job Security","Company Culture, Work Life Balance, Job Security"
JustDial,3.5,(4.5k),Internet | Noida +199 other locations,None,"Company Culture, Work Life Balance, Job Security"
Eviden,3.6,(4.4k),IT Services & Consulting | Pune +33 other locations,None,"Company Culture, Work Life Balance, Job Security"
Vivo,4.1,(4.4k),Consumer Electronics & Appliances | Noida +391 other locations,"Skill Development / Learning, Company Culture, Work Life Balance","Skill Development / Learning, Company Culture, Work Life Balance"
